Año,Pais,Id_Pais,Crecimiento_PIB,Tasa_desempleo,Inflacion_PIB,Homicidios_intencionales,Muertes_Conflicto,Control_Corrupcion,Emisiones_CO2,Esperanza_vida,Migracion_neta,Poblacion_total
2020,Chad,TCD,-1.60000673705524,1.645,-5.45489640763718,0.0,196.0,6.73076915740967,1568.4,52.777,9016.0,16644701.0
2020,Channel Islands,CHI,-7.96507880705455,7.811,2.2417551464936,0.0,0.0,0.0,0.0,81.264,1362.0,171113.0
2020,Chile,CHL,-6.14524685679062,11.14,9.6374136550188,4.79784927857005,0.0,83.6538467407227,84827.8,79.377,98439.0,19300315.0
2020,Colombia,COL,-7.25229907492306,15.04,1.48021450852424,24.2427633844347,30.0,47.1153831481934,79057.6,74.769,229437.0,50930662.0
2020,Comoros,COM,-0.195556827149787,9.032,0.669668394306555,0.0,0.0,11.057692527771,328.2,64.166,-1772.0,806166.0
2020,"Congo, Dem. Rep.",COD,1.7354227636007,5.127,3.90154957344082,0.0,1195.0,2.4038462638855,3025.6,59.739,-1643.0,92853164.0
2020,"Congo, Rep.",COG,-6.23931963197583,22.517,-13.8554242466024,0.0,0.0,5.28846168518066,7153.9,63.785,-4465.0,5702174.0
2020,Costa Rica,CRI,-4.27335432161462,16.43,0.772593247062218,11.1260651499432,0.0,75.0,6967.4,79.277,2084.0,5123105.0
2020,Cote d'Ivoire,CIV,1.73762042928969,2.66,1.5319983195637,0.0,0.0,32.6923065185547,10894.9,59.032,-12301.0,26811790.0
2020,Croatia,HRV,-8.58034302106221,7.51,0.734131433001608,0.976355239042884,0.0,61.538459777832,15626.9,77.7243902439024,-11592.0,4047680.0
2020,Cuba,CUB,-10.9483409741617,1.4,16.5547556871819,0.0,0.0,50.0,24327.8,77.567,-7068.0,11300698.0
2020,Curacao,CUW,-18.4384718493945,0.0,2.18000283258829,0.0,0.0,0.0,0.0,0.0,997.0,154947.0
2020,Cyprus,CYP,-4.37247418575215,7.59,-1.20902538604891,1.21208497200488,0.0,65.3846130371094,6771.8,81.391,2999.0,1237537.0
2020,Czechia,CZE,-5.50296796125089,2.55,4.31840283925935,0.731177855832333,0.0,70.6730804443359,88835.2,78.2268292682927,3621.0,10697858.0
2020,Denmark,DNK,-1.99460756850381,5.64,2.60762107978847,0.944102116831435,0.0,100.0,27356.5,81.6024390243903,23076.0,5831404.0
2020,Djibouti,DJI,1.20202203296475,28.048,1.76228806828608,0.0,0.0,25.480770111084,427.7,62.694,744.0,1090156.0
2020,Dominica,DMA,-16.6049115377829,0.0,-1.13277068393862,20.8349248900958,0.0,71.1538467407227,162.8,73.649,100.0,71995.0
2020,Dominican Republic,DOM,-6.72023937283404,6.13,4.72350401957794,8.73663089784519,0.0,25.9615383148193,22881.3,72.889,-14966.0,10999664.0
2020,Ecuador,ECU,-7.78760709093422,6.11,-0.399099295795224,7.80050914241561,0.0,34.1346168518066,34431.0,72.153,35894.0,17588595.0
2020,"Egypt, Arab Rep.",EGY,3.55016483786844,7.939,6.17693409847959,0.0,527.0,24.0384616851807,210752.3,70.99,4476.0,107465134.0
2020,El Salvador,SLV,-7.87838378345673,5.02,0.673331506804288,21.3103023154811,0.0,30.769229888916,6376.3,71.061,-25214.0,6292731.0
2020,Equatorial Guinea,GNQ,-4.2414813213166,9.295,-8.83041399867622,0.0,0.0,4.32692289352417,4350.4,60.708,0.0,1596049.0
2020,Eritrea,ERI,0.0,7.28,0.0,0.0,0.0,8.65384578704834,706.4,67.133,-14987.0,3555868.0
2020,Estonia,EST,-0.55100125774716,6.96,-0.531509461698576,3.15921543141343,0.0,92.3076934814453,7097.52,78.5951219512195,2995.0,1329522.0
2020,Eswatini,SWZ,-1.55964258999499,25.08,3.22693657024442,0.0,0.0,46.6346168518066,1147.7,59.692,-4897.0,1180655.0
2020,Ethiopia,ETH,6.05953088643369,4.126,18.2545902876571,0.0,1617.0,41.3461532592773,18098.0,65.371,38867.0,117190911.0
2020,Faroe Islands,FRO,-2.62873139350219,0.0,-0.0912016410785412,0.0,0.0,0.0,0.0,83.1975609756098,498.0,52415.0
2020,Fiji,FJI,-17.0002349004837,4.794,-1.21609609618226,2.17291633620231,0.0,72.5961532592773,1028.2,67.924,-6003.0,920422.0
2020,Finland,FIN,-2.35496515679442,7.76,1.63467899810999,1.64572794344772,0.0,99.5192337036133,36329.9,81.9317073170732,17482.0,5529543.0
2020,French Polynesia,PYF,-6.99999134820864,13.67,0.537628405812328,0.0,0.0,0.0,0.0,82.217,-378.0,301920.0
2020,Gabon,GAB,-1.8377610635094,21.726,-9.17390572382459,0.0,0.0,20.6730766296387,5349.2,66.531,1514.0,2292573.0
2020,"Gambia, The",GMB,0.591487287873974,5.096,2.18875895856547,0.0,0.0,39.9038467407227,611.4,62.612,-1960.0,2573995.0
2020,Georgia,GEO,-6.76043981705519,11.73,7.28127821019069,0.0,0.0,71.6346130371094,10255.0,72.765,-2734.0,3722716.0
2020,Ghana,GHA,0.513941670628171,3.774,9.36557367753899,1.72465219242215,0.0,51.4423065185547,19401.16,64.114,-297.0,32180401.0
2020,Gibraltar,GIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.198,-58.0,32709.0
2020,Greece,GRC,-9.00404364202146,16.31,-0.860859160367283,0.741992756628659,0.0,58.6538467407227,51002.2,81.2878048780488,-17853.0,10698599.0
